"","Target","KNN","Lasso","SVM"
"284",0,0,0.015606515301205,0.106509718163513
"285",0,0.166666666666667,0.0430293282275527,0.225172028201148
"286",0,0,0.0348419704761895,0.0475812017251558
"287",0,0,0.0432084770995823,0.184352585703455
"288",1,0.571428571428571,0.999265385110382,0.932935463004758
"289",1,1,0.999847860126576,1.07664383782482
"290",0,0,0.000725820182701225,0.0606962564872378
"291",1,0.6,0.999902093276478,1.03122367310909
"292",1,0.333333333333333,0.999944767655108,1.00260093071468
"293",0,0,0.0324095585539938,0.24049278629855
"294",0,0.2,0.00217338885573979,0.0552703080594386
"295",1,1,0.916215620503214,0.851747947697594
"296",1,0.666666666666667,0.968112425350409,0.798393674907492
"297",0,0.4,0.00273089538096864,0.137869603868954
"298",1,0.4,0.907246981663633,0.807984667729674
"299",0,0,0.00170790189048251,-0.0588255189276152
"300",1,1,0.998321680105842,0.932678196951703
"301",1,1,0.914423841334999,0.683513329706632
"302",1,1,0.99406911216207,0.844505416100692
"303",1,0.571428571428571,0.952374874135087,0.888939304357497
"304",0,0,0.00266658285524559,0.127014712499222
"305",1,0.5,0.947224334917368,0.684774732634698
"306",1,0.6,0.767412649385716,0.724238904470771
"307",1,0.875,0.998429853108667,1.19308409750221
"308",0,0,0.0407335320056211,0.140455848932537
"309",1,0.571428571428571,0.95602961824594,0.831739652173771
"310",1,0.4,0.989555555574607,0.766043280997569
"311",1,1,0.995926975303373,0.885893382894911
"312",1,1,0.995157847614635,0.742575232713809
"313",1,0.8,0.763038697494372,0.760772875163885
"314",0,0,0.00658670970857561,0.197853911763805
"315",0,0,0.00765918851451949,0.0431981779734274
"316",1,1,0.999553090254801,0.951804361813861
"317",1,0.5,0.999733274092456,0.985407831477009
"318",0,0,0.14821966972666,0.242963062871842
"319",0,0,0.00618215764674978,0.16309256039914
"320",1,1,0.997711929962595,0.871973492248633
"321",0,0,0.034368232267135,0.130052155995561
"322",1,0.4,0.999890641520085,1.04900372426794
"323",1,1,0.959766793799272,0.824541305118818
"324",1,0.6,0.998308641315708,0.86876448777132
"325",0,0,0.0327597249857803,0.226388911348399
"326",1,1,0.997203483752606,1.00048501807659
"327",1,1,0.946002320086086,0.882998936870483
"328",1,0.666666666666667,0.999779200997301,1.07634198054784
"329",1,1,0.792539524306891,0.859073270978347
"330",1,1,0.971732124841718,0.900686431471731
"331",0,0,0.00844226577882135,0.101037782433569
"332",0,0,0.00336581399680067,0.0688086914212436
"333",1,0.4,0.942541374636197,0.779531242519885
"334",1,0.166666666666667,0.988960324006823,0.823960658542295
"335",1,1,0.968958217428081,0.875790363238981
"336",1,1,0.998511331852508,1.0921952940426
"337",1,1,0.943583569843492,0.869836957261389
"338",1,1,0.998215711582321,0.916092550072794
"339",0,0,0.0284149008281263,0.14419825979228
"340",0,0,0.218484858213666,0.109447418330324
"341",1,1,0.943405730089433,0.894313078217086
"342",1,0.4,0.833386238046303,0.831281965187661
"343",0,0,0.00897379469111665,0.119486418119881
"344",1,0.666666666666667,0.915055998516967,0.943434107245001
"345",1,1,0.953566932616377,0.843243071619885
